"Kode Produk","Nama Produk",Varian,Diharapkan,Terhitung
,"STELLA TROPICAL AEROSOL CAN 250 ML*",,100.0000,
11747234191,"DOLPHIN GARAM MEJA 500 GR",,100.0000,
16,"FYPcsFAX PPR ROLL",,100.0000,
17,"LAKBAN BLACK DMR 1",,100.0000,
18,"LAKBAN GT KECIL",,100.0000,
2,"BERAS 10KG BMW",,100.0000,
21,"JOYKO DOUBLE TAPE 1/2",,100.0000,
22,"JOYKO DOUBLE TAPE 1",,100.0000,
24,"ISOLASI 1X72 DMR",,100.0000,
2465105025019,"KEKESET ANYAM",,100.0000,
25,"SPIDOL KECIL BLACK",,100.0000,
26,"SPIDOL KECIL RED",,100.0000,
27,"SPIDOL KECIL BLUE",,100.0000,
28,"LAP LANTAI PUTIH",,100.0000,
29,"LAP LANTAI LAVENDER",,100.0000,
3086123194366,"BIC 1 ORANGE HC 1S",,100.0000,
3086126676074,"BIC 2 ORANGE HC 1S",,100.0000,
31,"SAPU LIDI",,100.0000,
32,"SAPU LIDI GG",,100.0000,
33,"SAPU AREN",,100.0000,
37,"BATRAI ABC KECIL",,100.0000,
38,"BATRAI ABC BESAR",,100.0000,
39,"AQUA GALON 19L",,100.0000,
4,"BPcsCLIPS NO 260",,100.0000,
40,"KOREK TOKAI",,100.0000,
4007817524206,"STAEDTLER PENGHAPUS KCL",,100.0000,
4800318407739,"SENSODYNE GEL 100GR",,100.0000,
4800361000239,"NESTLE KOKO CRUNCH 330GR",,100.0000,
4800361002974,"MILO BALL 170GR",,100.0000,
4800888157942,"VASELINE MEN FACE WASH A DULLNESS 5",,100.0000,
4800888157966,"VASELINE MEN HEALTHY WHITE FW 100GR",,100.0000,
4902430393126,"VICKS INHALER",,100.0000,
4902430414296,"HEAD&SHOULDERS SHP COOL MENTHOL 70M",,100.0000,
4902430433082,"HEAD&SHOULDERS SHP ANTI HAIRFALL 70",,100.0000,
4902430433167,"HEAD&SHOULDERS SHP SMOTH & SILKY 70",,100.0000,
4902430440950,"GILLETTE BLUE 3 ICE 4S",,100.0000,
4902430477161,"HEAD&SHOULDERS SHP ITCHY SCALP 75ML",,100.0000,
4902430479264,"GILLETTE BLUE 3 COLLECTION  2S",,100.0000,
4902430507493,"HEAD&SHOULDERS SHP COOL BLAST 70ML",,100.0000,
4902430510455,"GILLETTE MACH 3 COLLECTION 1S",,100.0000,
4902870775698,"MAX STAPLER HDPcs10 MAGENTA",,100.0000,
4902870775704,"MAX STAPLER HDPcs10 YELLOW",,100.0000,
4968306479585,"SEMIR KIWI BESAR 45ML",,100.0000,
