Kode Produk,Nama Produk,Varian,Diharapkan,Terhitung
,STELLA TROPICAL AEROSOL CAN 250 ML*,,100,100
11747234191,DOLPHIN GARAM MEJA 500 GR,,100,100
16,FYPcsFAX PPR ROLL,,100,100
17,LAKBAN BLACK DMR 1,,100,100
18,LAKBAN GT KECIL,,100,100
2,BERAS 10KG BMW,,100,100
21,JOYKO DOUBLE TAPE 1/2,,100,100
22,JOYKO DOUBLE TAPE 1,,100,100
24,ISOLASI 1X72 DMR,,100,100
2.46511E+12,KEKESET ANYAM,,100,100
25,SPIDOL KECIL BLACK,,100,100
26,SPIDOL KECIL RED,,100,100
27,SPIDOL KECIL BLUE,,100,100
28,LAP LANTAI PUTIH,,100,100
29,LAP LANTAI LAVENDER,,100,100
3.08612E+12,BIC 1 ORANGE HC 1S,,100,100
3.08613E+12,BIC 2 ORANGE HC 1S,,100,100
31,SAPU LIDI,,100,100
32,SAPU LIDI GG,,100,100
33,SAPU AREN,,100,100
37,BATRAI ABC KECIL,,100,100
38,BATRAI ABC BESAR,,100,100
39,AQUA GALON 19L,,100,100
4,BPcsCLIPS NO 260,,100,100
40,KOREK TOKAI,,100,100
4.00782E+12,STAEDTLER PENGHAPUS KCL,,100,100
4.80032E+12,SENSODYNE GEL 100GR,,100,100
4.80036E+12,NESTLE KOKO CRUNCH 330GR,,100,100
4.80036E+12,MILO BALL 170GR,,100,100
4.80089E+12,VASELINE MEN FACE WASH A DULLNESS 5,,100,100
4.80089E+12,VASELINE MEN HEALTHY WHITE FW 100GR,,100,100
4.90243E+12,VICKS INHALER,,100,100
4.90243E+12,HEAD&SHOULDERS SHP COOL MENTHOL 70M,,100,100
4.90243E+12,HEAD&SHOULDERS SHP ANTI HAIRFALL 70,,100,100
4.90243E+12,HEAD&SHOULDERS SHP SMOTH & SILKY 70,,100,100
4.90243E+12,GILLETTE BLUE 3 ICE 4S,,100,100
4.90243E+12,HEAD&SHOULDERS SHP ITCHY SCALP 75ML,,100,100
4.90243E+12,GILLETTE BLUE 3 COLLECTION  2S,,100,100
4.90243E+12,HEAD&SHOULDERS SHP COOL BLAST 70ML,,100,100
4.90243E+12,GILLETTE MACH 3 COLLECTION 1S,,100,100
4.90287E+12,MAX STAPLER HDPcs10 MAGENTA,,100,100
4.90287E+12,MAX STAPLER HDPcs10 YELLOW,,100,100
4.96831E+12,SEMIR KIWI BESAR 45ML,,100,100
4.96831E+12,"SEMIR KIWI KECIL 17,5ML 14GR",,100,100
4.97013E+12,SNOWMAN SPIDOL BLCK G12,,100,100
4.97013E+12,SNOWMAN SPIDOL RED G12,,100,100
4.97013E+12,SNOWMAN SPIDOL BLUE G12,,100,100
4.97013E+12,SNOWMAN SPIDOL BLACK BGPcs12,,100,100
4.97013E+12,SNOWMAN SPIDOL RED BGPcs12,,100,100
4.97013E+12,SNOWMAN SPIDOL BLUE BGPcs12,,100,100
4.97043E+12,ETONA NO.10 STEPLES,,100,100
4.98718E+12,VICKS VAPORUB 50,,100,100
5,BPcsCLIPS NO 200,,100,100
6.93101E+12,PEN TOSHIRO,,100,100
6.93103E+12,TRIFELO POST IT,,100,100
7.12E+11,ABC KACANG HIJAU SLIM 250 ML,,100,100
7.62E+12,BELVITA MILK & CEREAL 80GR,,100,100
7.62E+12,OREO ICE CREAM BLUEBERRY 137 GR,,100,100
7.11844E+11,ABC KECAP MANIS TANGGUNG 275ML,,100,100
7.11844E+12,ABC KECAP MANIS REFILL 520 ML,,100,100
7.11844E+11,ABC BLACK GOLD KECAP MANIS BOTTLE 2,,100,100
7.11844E+11,ABC SAMBAL BOTOL  135 ML,,100,100
7.11844E+11,ABC SAMBAL STICK 10GR,,100,100
7.11844E+11,ABC SAMBAL ASLI 20G,,100,100
7.11844E+11,ABC SAMBAL EXTRA PEDAS SACHET,,100,100
7.11844E+11,ABC TOMAT BOTTLE 140 ML,,100,100
7.11844E+11,ABC JUICE SIRSAK 250ML,,100,100
7.11844E+11,ABC KACANG HIJAU SLIM 250 ML,,100,100
7.11844E+11,ABC SARDEN SAUS TMT 155GR,,100,100
7.11844E+11,MAYA SARDEN TOM SC80G,,100,100
7.11844E+11,ABC SARDEN KLG 425GR,,100,100
76164217,MARLBORO RED,,100,100
7.62221E+12,BELVITA MILK & CEREAL 80GR,,100,100
7.6223E+12,OREO STRAWBERRY CREME 137GR,,100,100
7.6223E+12,KRAF KEJU CAKE,,100,100
7.6223E+12,OREO ICE CREAM BLUEBERRY 137 GR,,100,100
76239878,MARLBORO GOLD,,100,100
7.70202E+12,GILLETTE BLUE 3 4S,,100,100
7.70202E+12,GILLETTE MACH 3 TURBO SEN RAZOR 1S,,100,100
8,SWALLOW SANDAL JEPIT,,100,100
8.85E+12,MAMY POKO PANTS GIRL  XXXL 24S,,100,100
8.89E+12,AQUA WATER BOTTLE 330 ML,,100,100
8.89E+12,GOOD TIME CLASSIC CHOCOCHIPS 80GR,,100,100
8.99E+12,TANGO WAFER CHOCO 176 GR,,100,100
8.99E+12,MONY CINCAU CAN 300 ML`,,100,100
8.99E+12,KAPAL API SPECIAL 165 GR,,100,100
8.99E+12,LAURIER ACTIVE DAY SUPER MAXI 30S,,100,100
8.99E+12,BENDERA SUSU KENTAL MANIS CHOCO 375,,100,100
8.99E+12,COCA COLA PET 390 ML`,,100,100
8.99E+12,ADEM SARI CHING KU CAN 320 ML,,100,100
8.99E+12,TEH ZEGAR 330 ML,,100,100
8.99E+12,HONEY STAR CUP 32GR,,100,100
8.99E+12,FATIGON HYDRO ORIGINAL 250 ML,,100,100
8.99E+12,TONGTJI CELUP BLACK 25X2GR,,100,100
8.99E+12,RICHEESE NBT WAFER CHEESE CRM,,100,100
8.99E+12,CHARM BODY FIT EXTRA MAXI WING 20S,,100,100
8.99E+12,Sania Myk Grg 2lt,,100,100
8.99E+12,LUWAK WHITE KOFFIE 10X20GR,,100,100
9.00E+12,GULAKU TEBU KUNING 1KG,,100,100
9.00E+12,LARUTAN PENYEGAR KAKI TIGA BTL 200M,,100,100
